,BATT,CHRG,CO,CO2,NO2,O3,PM1,PM10,PM25,RH,RUN,SD,SO2,T,raw1,raw2,raw3,raw4,raw5,raw6,raw7,raw8,stat2
2024-02-01 02:00:00,3.84487804878049,0,544.186097560976,1059,59.8946341463415,24.5748780487805,9.19512195121951,17.4024390243902,14.2256097560976,85.4390243902438,114.656097560976,1,-35.1529268292683,15.5,-48.4390243902439,271.365853658537,10,-10.1951219512195,-0.536585365853659,-16.3658536585366,-0.341463414634146,-38.1219512195122,0
2024-02-01 03:00:00,3.82857142857143,0,535.914523809524,1113,56.5952380952381,20.5680952380952,8.94642857142857,17.1309523809524,13.8690476190476,85.6499999999999,110.08380952381,1,-33.4147619047619,15.5595238095238,-48.7380952380952,263.880952380952,10,-9.30952380952381,-0.880952380952381,-14.7142857142857,-0.904761904761905,-33.1904761904762,0
2024-02-01 04:00:00,3.81024390243903,0,520.887317073171,1134.90243902439,55.3480487804878,20.4295121951219,8.33536585365854,16.1890243902439,12.7987804878049,85.829268292683,107.778536585366,1,-34.9060975609756,15.8536585365854,-50.6341463414634,246.365853658537,10,-9.29268292682927,-1.17073170731707,-14.1219512195122,-0.926829268292683,-32.1951219512195,0
2024-02-01 05:00:00,3.79357142857143,0,499.159285714286,1330.66666666667,56.1854761904762,20.1766666666667,8.14285714285714,15.8571428571429,12.5238095238095,86.3095238095238,110.274761904762,1,-36.1895238095238,15.4309523809524,-48.9047619047619,232.261904761905,10,-10.7857142857143,-0.261904761904762,-13.9761904761905,0,-30.8333333333333,0
2024-02-01 06:00:00,3.7809756097561,23.6539024390244,540.320243902439,1614.39024390244,56.6973170731707,22.1234146341463,9.76829268292683,18.4024390243902,15.1463414634146,86.7804878048781,112.531951219512,1,-34.3265853658537,15.3536585365854,-49.1463414634147,266.90243902439,10,-9.82926829268293,-0.926829268292683,-14.9024390243902,-1.04878048780488,-34.4146341463415,0
2024-02-01 07:00:00,3.84547619047619,690.542857142857,574.029761904762,1204.66666666667,50.5780952380952,17.0654761904762,8.42857142857143,16.3392857142857,12.8571428571429,85.8261904761905,109.431666666667,1,-29.3845238095238,16.7595238095238,-60.5714285714286,265.880952380952,11.4285714285714,-2.97619047619048,-2.38095238095238,-11.7857142857143,-4.57142857142857,-32.0714285714286,0
2024-02-01 08:00:00,3.98357142857143,1025.74595238095,820.749047619048,350.190476190476,36.4111904761905,14.6897619047619,9.17857142857143,17.0476190476191,13.8869047619048,77.9809523809524,96.8892857142857,1,-10.9885714285714,21.0833333333333,-120.047619047619,297.690476190476,20.0476190476191,21.4047619047619,-4.07142857142857,-2.45238095238095,-6.88095238095238,-25.4285714285714,0
2024-02-01 09:00:00,4.05439024390244,702.081463414634,802.570243902439,101,20.0651219512195,36.2346341463415,10.8658536585366,19.0609756097561,16.5060975609756,67.2390243902439,93.2012195121951,1,-57.6087804878049,24.6146341463415,-93.2682926829268,366.170731707317,28.0975609756098,9.02439024390244,-0.682926829268293,9.53658536585366,0.585365853658537,-16.2682926829268,0
2024-02-01 10:00:00,4.06904761904762,368.573333333333,852.295952380952,51.5238095238095,20.9914285714286,42.6114285714286,11.8511904761905,19.6071428571429,17.7083333333333,61.7428571428572,90.2147619047619,1,-74.9607142857143,25.6714285714286,-85.3333333333333,438.809523809524,28.7619047619048,1.23809523809524,1.02380952380952,10.5476190476191,1.71428571428571,-20.2619047619048,0
2024-02-01 11:00:00,4.06690476190476,292.16619047619,887.56,46.7619047619048,34.1638095238095,41.3816666666667,11.8988095238095,20.0059523809524,17.9404761904762,60.1357142857143,93.2438095238095,1,-69.9980952380953,25.1619047619048,-86.2857142857143,466.880952380952,25.4047619047619,-1.02380952380952,3.45238095238095,3.85714285714286,4.83333333333333,-25.3571428571429,0
2024-02-01 12:00:00,4.06452380952381,229.720952380952,824.841190476191,53.9761904761905,36.3611904761905,39.1719047619048,11.8690476190476,20.3214285714286,18.1726190476191,60.052380952381,98.3845238095238,1,-71.2930952380952,25.097619047619,-85.6666666666667,411.928571428571,24.4285714285714,-3.4047619047619,3.4047619047619,2.76190476190476,4.16666666666667,-27.1190476190476,0
2024-02-01 13:00:00,4.06341463414634,302.867804878049,750.850487804878,88.9512195121951,58.1634146341464,32.2636585365854,9.48780487804878,17.390243902439,14.3780487804878,61.7243902439024,96.0331707317073,1,-51.6309756097561,22.0073170731707,-84.1219512195122,345.414634146341,16.7317073170732,-5.36585365853659,5.70731707317073,-9.19512195121951,7.17073170731707,-33.780487804878,0
2024-02-01 14:00:00,4.07,284.303333333334,722.470238095238,77.4761904761905,51.7316666666667,17.2059523809524,9.39880952380952,17.6428571428571,14.25,63.5785714285714,93.9345238095238,1,-55.8330952380952,24.3261904761905,-81.1190476190476,332.142857142857,21.9523809523809,1.11904761904762,0.976190476190476,-7.57142857142857,0.214285714285714,-31.1904761904762,0
2024-02-01 15:00:00,4.05761904761905,136.47380952381,713.438571428571,135.095238095238,60.1254761904762,19.7088095238095,8.94642857142857,17.1547619047619,13.8095238095238,66.9095238095238,97.8097619047619,1,-44.0285714285714,22.8785714285714,-80.2857142857143,324.761904761905,18.5476190476191,0.857142857142857,4.35714285714286,-10.8809523809524,5.85714285714286,-28.6904761904762,0
2024-02-01 16:00:00,4.02714285714286,31.4142857142857,678.82,303.857142857143,74.955,12.0930952380952,8.48809523809524,16.6785714285714,13.0535714285714,74.5952380952381,100.842857142857,1,-39.8297619047619,20.2690476190476,-64.5238095238095,338.547619047619,13.4761904761905,-5.04761904761905,2.73809523809524,-20.7380952380952,3.80952380952381,-37.5,0
2024-02-01 17:00:00,4.00047619047619,7.90119047619048,618.891428571429,550.928571428571,77.8185714285715,13.0833333333333,8.47619047619048,16.7976190476191,13.1666666666667,80.3452380952381,103.219523809524,1,-46.315,18.3619047619048,-39.2142857142857,358.02380952381,11.0952380952381,-13.0714285714286,1.38095238095238,-23.7380952380952,1.95238095238095,-42.2142857142857,0
2024-02-01 18:00:00,3.97682926829268,0,645.864878048781,886.048780487805,74.3973170731707,11.4804878048781,8.70121951219512,17.0365853658537,13.6280487804878,84.0975609756098,105.264390243903,1,-37.0636585365853,17.0853658536585,-40.1463414634146,377.853658536585,10,-10.5609756097561,0.219512195121951,-23.0731707317073,0.390243902439024,-40.0731707317073,0
2024-02-01 19:00:00,3.95738095238095,0,655.944761904762,1294.85714285714,68.3754761904762,12.895,8.95833333333333,17.6130952380952,13.9940476190476,85.8333333333333,105.596190476191,1,-31.8371428571429,16.4190476190476,-42.5,380.047619047619,10,-8.0952380952381,-0.214285714285714,-20.5952380952381,-0.214285714285714,-37.047619047619,0
2024-02-01 20:00:00,3.93780487804878,0,667.388780487805,1596.78048780488,60.6841463414634,10.7709756097561,9.10975609756098,17.9390243902439,14.5365853658537,86.5268292682926,104.399756097561,1,-22.020487804878,16.2975609756098,-46.0243902439024,381.634146341463,10,-3.04878048780488,-0.926829268292683,-16.6341463414634,-0.829268292682927,-29.6829268292683,0
2024-02-01 21:00:00,3.92285714285714,0,585.348095238095,1637.09523809524,55.6033333333333,16.135,8.88095238095238,17.6190476190476,14.0535714285714,86.7142857142857,107.820476190476,1,-26.0290476190476,16.102380952381,-46.5952380952381,310.428571428571,10,-5.0952380952381,-0.80952380952381,-13.8809523809524,-0.714285714285714,-29.0714285714286,0
2024-02-01 22:00:00,3.90428571428572,0,593.272380952381,1797.21428571429,53.3438095238095,16.1880952380952,9.44642857142857,18.3571428571429,15.1666666666667,86.9166666666667,111.120476190476,1,-22.637380952381,15.8166666666667,-47.1428571428572,315.714285714286,10,-3.5,-1.02380952380952,-12.952380952381,-0.928571428571429,-27.1904761904762,0
2024-02-01 23:00:00,3.88609756097561,0,584.77487804878,1924.85365853659,50.4236585365854,17.6865853658537,8.60365853658537,17.1463414634146,13.6219512195122,87.0951219512195,105.971951219512,1,-20.3631707317073,15.5707317073171,-46.390243902439,310.439024390244,10,-2.53658536585366,-0.853658536585366,-11.1463414634146,-0.658536585365854,-25.0243902439024,0
2024-02-02 00:00:00,3.86928571428572,0,569.1,2001,49.1719047619048,18.1080952380952,8.77380952380952,17.4821428571429,13.9642857142857,87.3238095238096,106.593333333333,1,-18.7130952380952,15.4119047619048,-46.9047619047619,295.904761904762,10,-1.83333333333333,-1.0952380952381,-10.7380952380952,-0.80952380952381,-24.5,0
2024-02-02 01:00:00,3.85317073170732,0,546.151951219512,2001,44.6312195121951,18.4114634146341,8.47560975609756,16.6036585365854,13.1646341463415,87.4658536585366,109.271463414634,1,-13.9207317073171,14.9292682926829,-44.6829268292683,281.121951219512,9.24390243902439,-0.951219512195122,-0.829268292682927,-8.14634146341463,-0.170731707317073,-19.219512195122,0
2024-02-02 02:00:00,3.83595238095238,0,542.744285714286,2001,42.7919047619048,18.3045238095238,7.9702380952381,15.4761904761905,12.2142857142857,87.7119047619048,114.110238095238,1,-11.3104761904762,14.3428571428572,-42.7857142857143,281.904761904762,9,-0.214285714285714,-0.547619047619048,-7.19047619047619,-0.119047619047619,-17.1904761904762,0
2024-02-02 03:00:00,3.81880952380952,0,555.360238095238,2001,44.7314285714286,15.1995238095238,8.25595238095238,16.125,12.7559523809524,88.0142857142857,113.151428571429,1,-11.8502380952381,14.2309523809524,-45,288.404761904762,9,-0.714285714285714,-1.14285714285714,-8.85714285714286,-1,-17.9285714285714,0
2024-02-02 04:00:00,3.80023809523809,0,552.625238095238,2001,48.1340476190476,21.1619047619048,9.39880952380952,17.9107142857143,14.8095238095238,88.2214285714286,114.147857142857,1,-26.6807142857143,14.2595238095238,-46.5714285714286,283.238095238095,9,-7.35714285714286,-1.26190476190476,-10.8809523809524,-0.666666666666667,-24.8809523809524,0
